a,-10.498408428,153.001072611,100.00,       Outside the grid limits
b,-36.3348253617,145.5741006771,100.00,     Valid point
c,-37.624636162,,100.000,                   No longitude
,,144.210,100.0,                            No latitude
,-36.334820,145.574100,
d, -97.595974127,  164.206007396,           Invalid latitude
e, -37.610172924, -144.213914283,           Outside the grid limits
211300470,     -36.3348253617,  145.5741006771, 172.193,    BENALLA PM   47
211300940,     -36.3238821312,  145.5821570921, 167.563,    BENALLA PM   94
211301000,     -36.3353281708,  145.5821278516, 171.502,    BENALLA PM  100
211301080,     -36.3308068703,  145.5854626679, 169.942,    BENALLA PM  108
211301110,     -36.3259313985,  145.5932297805, 170.208,    BENALLA PM  111
211301630,     -36.3219294809,  145.5958131466, 169.421,    BENALLA PM  163
220700210,     -36.5740496878,  145.4736891210, 332.233,    BORODOMANIN PM   21
222000390,     -36.4508400411,  145.3332108846, 171.931,    BRANJEE PM   39
222701160,     -36.4342838852,  146.5807975413, 311.928,    BRIGHT PM  116
